#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50  71  9.3 11.2  2.61 11.43  6.62  14 1021.8  24.4  26.5  22.3 99.0 99.00
2016 01 01 00 50  93  8.8 11.1  2.63 12.12  6.65  24 1022.0  25.0  26.5  22.2 99.0 99.00
2016 01 01 01 50  81  8.4 10.0  2.57 12.12  6.70  26 1022.2  25.4  26.5  22.6 99.0 99.00
2016 01 01 02 50 107  8.2 10.8  2.46 11.43  6.52  17 1021.8  25.2  26.5  21.9 99.0 99.00
2016 01 01 03 50  89  8.7 10.2  2.44 11.43  6.67  13 1021.2  25.2  26.5  22.1 99.0 99.00
2016 01 01 04 50 111  6.7  9.3  2.26 11.43  6.50  30 1021.2  24.5  26.5  21.7 99.0 99.00
2016 01 01 05 50 103  7.9 10.2  2.31  7.14  6.38  85 1020.3  24.8  26.5  20.7 99.0 99.00
2016 01 01 06 50  89  8.8  9.9  2.23 10.00  6.77  30 1019.7  25.5  26.5  22.4 99.0 99.00
2016 01 01 07 50 120  7.9  9.5  2.27  9.09  6.44  86 1019.7  24.3  26.5  21.2 99.0 99.00
2016 01 01 08 50 124  7.2  8.5  2.37  9.09  6.61 118 1020.1  24.5  26.5  20.8 99.0 99.00
2016 01 01 09 50 124  5.8  6.9  2.38  9.09  6.86 103 1020.7  24.2  26.5  21.1 99.0 99.00
2016 01 01 10 50  65  4.7  5.9  2.39  9.09  7.02 120 1021.2  24.4  26.5  21.1 99.0 99.00
2016 01 01 11 50 103  8.7 10.4  2.22  8.33  6.34  91 1021.4  26.3  26.5  20.5 99.0 99.00
2016 01 01 12 50 104  8.9 10.5  2.55  9.09  6.56 107 1022.0  26.4  26.5  20.2 99.0 99.00
2016 01 01 13 50 106  9.1 11.1  2.32  8.33  6.37 110 1021.9  26.3  26.5  20.6 99.0 99.00
2016 01 01 14 50 111  8.9 10.5  2.31  9.09  6.24 108 1021.6  26.1  26.5  20.5 99.0 99.00
2016 01 01 15 50 102  8.2  9.7  2.07  8.33  6.00  90 1020.9  26.1  26.5  20.7 99.0 99.00
2016 01 01 16 50 105  8.1  9.7  2.29  8.33  6.32 105 1020.1  26.2  26.5  20.2 99.0 99.00
2016 01 01 17 50 102  8.0  9.7  2.21  9.09  6.14 102 1019.6  26.3  26.5  20.4 99.0 99.00
2016 01 01 18 50  99  7.5  9.1  2.23  9.09  6.42 105 1019.6  26.2  26.5  21.0 99.0 99.00
2016 01 01 19 50 101  7.0  8.7  2.00  9.09  6.26 109 1019.4  26.2  26.5  20.6 99.0 99.00
2016 01 01 20 50  98  7.8  9.3  2.25  9.09  6.74  98 1019.8  25.9  26.6  20.9 99.0 99.00
2016 01 01 21 50  99  5.9  9.7  2.05  9.09  6.49 100 1020.3  25.0  26.6  21.1 99.0 99.00
2016 01 01 22 50  99  7.6  8.8  2.20  9.09  6.58 103 1020.5  25.8  26.6  20.3 99.0 99.00
2016 01 01 23 50 122  9.2 12.2  2.26  8.33  6.67  95 1020.8  24.8  26.6  21.6 99.0 99.00
2016 01 02 00 50  66  5.4  6.7  2.26  8.33  6.39 112 1021.4  24.5  26.6  21.4 99.0 99.00
2016 01 02 01 50 124  6.7  8.3  2.27  9.09  6.68 113 1021.5  24.5  26.6  20.8 99.0 99.00
2016 01 02 02 50 105  9.0 11.2  2.26  9.09  6.58 123 1021.0  26.0  26.6  21.0 99.0 99.00
2016 01 02 03 50 101  8.3 10.0  2.31  9.09  6.45  95 1020.7  25.8  26.6  20.9 99.0 99.00
2016 01 02 04 50 101  9.2 10.5  2.30  9.09  6.29 105 1020.2  25.7  26.6  20.3 99.0 99.00
2016 01 02 05 50  95  9.0 10.6  2.20  9.09  6.29 119 1019.7  25.6  26.6  19.9 99.0 99.00
2016 01 02 06 50  93  7.7  8.7  2.27  9.09  6.36  98 1019.2  25.5  26.6  19.7 99.0 99.00
2016 01 02 07 50  92  7.3  8.7  2.18  9.09  6.36 106 1018.8  25.6  26.6  19.9 99.0 99.00
2016 01 02 08 50 102  8.2 10.1  2.27  9.09  6.56 109 1018.9  25.6  26.6  19.3 99.0 99.00
2016 01 02 09 50  98  7.2  8.7  2.34  9.09  6.73 100 1019.4  25.6  26.6  19.0 99.0 99.00
2016 01 02 10 50  84  7.2  8.5  2.33  9.09  6.83 114 1020.0  25.5  26.6  19.6 99.0 99.00
